
GENERATION NUMBER,  1,

SELECTION STAGE 

FETCH,8,%,FITNESS,1
GATHER,32,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,40,%,FITNESS,1
MID,28,%,FITNESS,2
FAR,32,%,FITNESS,1

GENERATION NUMBER,  9,

SELECTION STAGE 

KILL,76,%,FITNESS,3
FETCH,11,%,FITNESS,1
GATHER,13,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,43,%,FITNESS,1
MID,27,%,FITNESS,2
FAR,30,%,FITNESS,1
FINAL STAGE 

KILL,64,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,32,%,FITNESS,12
EXPLORE,4,%,FITNESS,1
CLOSE,36,%,FITNESS,1
MID,32,%,FITNESS,2
FAR,32,%,FITNESS,1

GENERATION NUMBER,  10,

SELECTION STAGE 

KILL,65,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,32,%,FITNESS,12
EXPLORE,3,%,FITNESS,1
CLOSE,39,%,FITNESS,1
MID,35,%,FITNESS,2
FAR,26,%,FITNESS,1
FINAL STAGE 

KILL,48,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,52,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,36,%,FITNESS,1
MID,40,%,FITNESS,2
FAR,24,%,FITNESS,1

GENERATION NUMBER,  11,

SELECTION STAGE 

KILL,41,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,58,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,49,%,FITNESS,1
MID,26,%,FITNESS,2
FAR,25,%,FITNESS,1
FINAL STAGE 

KILL,20,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,76,%,FITNESS,12
EXPLORE,4,%,FITNESS,1
CLOSE,44,%,FITNESS,1
MID,40,%,FITNESS,2
FAR,16,%,FITNESS,1

GENERATION NUMBER,  12,

SELECTION STAGE 

KILL,14,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,73,%,FITNESS,12
EXPLORE,13,%,FITNESS,1
CLOSE,42,%,FITNESS,1
MID,39,%,FITNESS,2
FAR,19,%,FITNESS,1
FINAL STAGE 

KILL,4,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,96,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,28,%,FITNESS,1
MID,64,%,FITNESS,2
FAR,8,%,FITNESS,1

GENERATION NUMBER,  13,

SELECTION STAGE 

KILL,10,%,FITNESS,3
FETCH,0,%,FITNESS,1
GATHER,90,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,44,%,FITNESS,1
MID,49,%,FITNESS,2
FAR,7,%,FITNESS,1
FINAL STAGE 

KILL,12,%,FITNESS,3
FETCH,4,%,FITNESS,1
GATHER,80,%,FITNESS,12
EXPLORE,4,%,FITNESS,1
CLOSE,28,%,FITNESS,1
MID,68,%,FITNESS,2
FAR,4,%,FITNESS,1

GENERATION NUMBER,  14,

SELECTION STAGE 

KILL,10,%,FITNESS,3
FETCH,8,%,FITNESS,1
GATHER,79,%,FITNESS,12
EXPLORE,3,%,FITNESS,1
CLOSE,33,%,FITNESS,1
MID,63,%,FITNESS,2
FAR,4,%,FITNESS,1
FINAL STAGE 

KILL,0,%,FITNESS,3
FETCH,4,%,FITNESS,1
GATHER,96,%,FITNESS,12
EXPLORE,0,%,FITNESS,1
CLOSE,32,%,FITNESS,1
MID,68,%,FITNESS,2
